;Well;Fluor;Target;Content;Sample;Cq;SQ
;K02;SYBR;RPS49;Unkn;;18,0215863065262;NaN
;K03;SYBR;Vg;Unkn;;20,9572719134387;NaN
;K04;SYBR;Vg;Unkn;;19,7855356868734;NaN
;K05;SYBR;A1;Unkn;;NaN;NaN
;K06;SYBR;A1;Unkn;;NaN;NaN
;K07;SYBR;;Unkn;;NaN;NaN
;K08;SYBR;;Unkn;;NaN;NaN
;K09;SYBR;;Unkn;;NaN;NaN
;K10;SYBR;;Unkn;;NaN;NaN
;K11;SYBR;;Unkn;;NaN;NaN
;K12;SYBR;;Unkn;;NaN;NaN
;K13;SYBR;;Unkn;;NaN;NaN
;K14;SYBR;;Unkn;;NaN;NaN
;K15;SYBR;;Unkn;;NaN;NaN
;K16;SYBR;;Unkn;;NaN;NaN
;K17;SYBR;;Unkn;;NaN;NaN
;K18;SYBR;;Unkn;;NaN;NaN
;K19;SYBR;;Unkn;;NaN;NaN
;K20;SYBR;;Unkn;;NaN;NaN
;K21;SYBR;;Unkn;;NaN;NaN
;K22;SYBR;;Unkn;;NaN;NaN
;K23;SYBR;;Unkn;;NaN;NaN
;K24;SYBR;;Unkn;;NaN;NaN
;L01;SYBR;RPS49;Unkn;;16,3599087659333;NaN
;L02;SYBR;RPS49;Unkn;;16,3826841916904;NaN
;L03;SYBR;Vg;Unkn;;NaN;NaN
;L04;SYBR;Vg;Unkn;;NaN;NaN
;L05;SYBR;A1;Unkn;;30,5537242414187;NaN
;L06;SYBR;A1;Unkn;;30,6822613464231;NaN
;L07;SYBR;;Unkn;;NaN;NaN
;L08;SYBR;;Unkn;;NaN;NaN
;L09;SYBR;;Unkn;;NaN;NaN
;L10;SYBR;;Unkn;;NaN;NaN
;L11;SYBR;;Unkn;;NaN;NaN
;L12;SYBR;;Unkn;;NaN;NaN
;L13;SYBR;;Unkn;;NaN;NaN
;L14;SYBR;;Unkn;;NaN;NaN
;L15;SYBR;;Unkn;;NaN;NaN
;L16;SYBR;;Unkn;;NaN;NaN
;L17;SYBR;;Unkn;;NaN;NaN
;L18;SYBR;;Unkn;;NaN;NaN
;L19;SYBR;;Unkn;;NaN;NaN
;L20;SYBR;;Unkn;;NaN;NaN
;L21;SYBR;;Unkn;;NaN;NaN
;L22;SYBR;;Unkn;;NaN;NaN
;L23;SYBR;;Unkn;;NaN;NaN
;L24;SYBR;;Unkn;;NaN;NaN
;M01;SYBR;RPS49;Unkn;;16,1046199499011;NaN
;M02;SYBR;RPS49;Unkn;;15,8123538749043;NaN
;M03;SYBR;Vg;Unkn;;26,8078028550089;NaN
;M04;SYBR;Vg;Unkn;;26,2385775233844;NaN
;M05;SYBR;A1;Unkn;;33,1707265932332;NaN
;M06;SYBR;A1;Unkn;;31,2080945781139;NaN
;M07;SYBR;;Unkn;;NaN;NaN
;M08;SYBR;;Unkn;;NaN;NaN
;M09;SYBR;;Unkn;;NaN;NaN
;M10;SYBR;;Unkn;;NaN;NaN
;M11;SYBR;;Unkn;;NaN;NaN
;M12;SYBR;;Unkn;;NaN;NaN
;M13;SYBR;;Unkn;;NaN;NaN
;M14;SYBR;;Unkn;;NaN;NaN
